author,genre,imgURL,old_price,price,title
Colin Barrow,business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_175112.jpg,90.000,54.000,Tạo Lập Kế Hoạch Kinh Doanh Hoàn Hảo
TS. Paul L. Marciano,business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_172030.jpg,129.000,94.815,Tạm Biệt Cà Rốt Và Cây Gậy (Tái Bản 2018)
Parag Khanna,business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_40507.jpg,210.000,178.500,Tương Lai Thuộc Về Châu Á
Sunil Gupta,business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180260.jpg,159.000,103.350,Kinh Doanh Trong Thời Đại 4.0
Song Hongbing,business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_5667.jpg,155.000,108.500,Chiến Tranh Tiền Tệ - Sự Thống Trị Của Quyền Lực Tài Chính
Tachkawa Mitsuaki,business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_175113.jpg,96.000,76.800,Bắt Chước Để Thành Công
Mike Michalowicz,business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_39469.jpg,149.000,119.200,Dòng Tiền Gắn Liền Lợi Nhuận
Kevin Kelly,business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_184255.jpg,169.000,92.950,12 Xu Hướng Công Nghệ Trong Thời Đại 4.0
Michael Lewis,business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/b/abb87915-ad4c-4029-a2bf-3ba07a52fd5e.jpg,149.000,116.220,Bán Khống (Tái Bản 2018)
Davis S Landes,business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_39471.jpg,399.000,319.200,Sự Giàu Và Nghèo Của Các Dân Tộc - The Wealth And The Poverty Of Nations
Nguyễn Đức Dũng,business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_216935.jpg,300.000,240.000,Kinh Tế Đêm & Phi Chính Thức
Joshua Gans,business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/o/covid-19--b_a-1.jpg,189.000,122.850,Phục Hồi Kinh Tế Sau Khủng Hoảng Covid-19 - Economics In The Age Of COVID-19
"Tom Koulopoulos, Dan Keldsen",business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/h/th_-h_-z---b_a-1.jpg,139.000,69.500,Thế Hệ Z: Hiểu Rõ Về Thế Hệ Sẽ Định Hình Tương Lai Của Doanh Nghiệp
Melanie Swan,business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/9/8935251407723.jpg,199.000,155.220,Blockchain - Khởi Nguồn Cho Một Nền Kinh Tế Mới
Henry Kissinger,business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_37510.jpg,299.000,239.200,Về Trung Quốc
Niall Ferguson,business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_40502.jpg,259.000,207.200,Đồng Tiền Lên Ngôi: Lịch Sử Tài Chính Thế Giới
Gino Wickman,business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_10685.jpg,159.000,116.865,Siêu Tăng Trưởng
"Kevin Mitnick, William L Simon",business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_2695.jpg,229.000,178.620,Bóng Ma Trên Mạng
GS TS Nguyễn Văn Tuấn,business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_41515.jpg,250.000,200.000,Phân Tích Dữ Liệu Với R (Tái Bản 2020)
Huỳnh Bửu Sơn,business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/i/giac-mo-hoa-rong.jpg,129.000,42.000,Giấc Mơ Hóa Rồng
Thomas L Friedman,business-analysis,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/h/chiec-lexus-va-cay-o-liu-tb-2020.jpg,255.000,204.000,Chiếc Lexus Và Cây Ô Liu (Tái Bản 2020)
