author,genre,imgURL,old_price,price,title
Kenichi Ohmae,business,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_42308.jpg,139.000,111.200,Tư Duy Của Chiến Lược Gia - Nghệ Thuật Kinh Doanh Nhật Bản - The Mind Of The Strategist (Tái Bản 2020)
Jonathan Passmore,business,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_222440.jpg,200.000,120.000,Những Mô Hình Coach Thành Công Nhất Hiện Nay
Minh Tân,business,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_582.jpg,85.000,68.000,Bí Quyết Thành Công - Nghệ Thuật Kinh Doanh Của Người Do Thái
Duncan Banatyne,business,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_40049.jpg,162.000,129.600,Quản Lý Thời Gian Thông Minh Của Người Thành Đạt: Bí Quyết Thành Công Của Triệu Phú Anh
Lynne Twist,business,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_222087.jpg,249.000,199.200,Linh Hồn Của Tiền - The Soul Of Money
John Perkins,business,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/o/loithutoicuamotsatthukinhte.jpg,190.000,123.500,Lời Thú Tội Mới Của Một Sát Thủ Kinh Tế
Gregg Thompson,business,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_222439.jpg,150.000,90.000,The Master Coach: Con Đường Trở Thành Nhà Khai Vấn Tài Ba
Jim Collins,business,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/x/nxbtre_full_06372017_103735.jpg,115.000,92.000,Từ Tốt Đến Vĩ Đại - Jim Collins (Tái Bản 2019)
Keith Cameron Smith,business,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/_/5_14.png,79.000,61.620,10 Điều Khác Biệt Nhất Giữa Kẻ Giàu & Người Nghèo (Tái Bản 2018)
Judy Robinett,business,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_55589.jpg,0.00,249.000,Siêu Cò - Cách Thức Biến Quan Hệ Thành Tiền Tệ - How To Be A Power Connector
Uno Takashi,business,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_188982.jpg,92.000,64.400,"Bổ Được Cà Chua, Mở Được Tiệm Cơm; Bật Được Nắp Chai, Mở Được Quán Nhậu"
Derek Thompson,business,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/7/9781101980330.jpg,297.000,237.600,Hit Makers: How to Succeed in an Age of Distraction
Carmine Gallo,business,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_19293.jpg,204.000,173.400,Talk Like TED: The 9 Public Speaking Secrets of the World's Top Minds
Martin Bjergegaard And Jordan Milne,business,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/9/8936037710150.jpg,89.000,32.000,Thành Công Không Cần Trả Giá
"Peter F. Drucker,Clayton M. Christensen,Michael E. Porter,Daniel Goleman",business,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_181313.jpg,493.000,394.400,HBR'S 10 Must Reads: The Essentials
Celeste Headlee,business,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_215546.jpg,260.000,221.000,"Do Nothing: How To Break Away From Overworking, Overdoing, And Underliving"
Jordan Belfort,business,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_189010.jpg,282.000,239.700,Way of the Wolf
"Jack Welch,Suzy Welch",business,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/7/9780061240171.jpg,126.000,107.100,Winning
"Renee Mauborgne, W. Chan Kim",business,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_19298.jpg,406.000,304.500,Blue Ocean Shift: Beyond Competing - Proven Steps to Inspire Confidence and Seize New Growth
