author,genre,imgURL,old_price,price,title
"Kaiu Shirai, Posuka Demizu",comic,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/e/neverland-18---bia-1-den.jpg,40.000,32.000,Miền Đất Hứa - The Promised Neverland - Tập 18 - Phiên Bản Bìa Đen (Black Ver) - Tặng Kèm 1 Postcard Nhựa In Màu (Hình Ảnh Bản Quyền Chỉ Xuất Hiện Trong Tuần San Shounen Jump)
"Kaiu Shirai, Posuka Demizu",comic,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/d/nd-19---bia1-trang.jpg,40.000,32.000,Miền Đất Hứa - The Promised Neverland - Tập 19 - Phiên Bản Bìa Trắng (White Ver) - Tặng Kèm 1 Postcard Hình Nhân Vật In Màu (Thiết Kế Độc Quyền Cho Phiên Bản Việt Nam)
Hideaki Sorachi,comic,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/i/gintama---tap-68.jpg,20.000,17.200,Gintama - Tập 68 (Tái Bản 2021)
Tite Kubo,comic,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/l/bleach---tap-44_1.jpg,22.000,18.920,Bleach - Tập 44: Vice It - Tặng Kèm Postcard
Koyoharu Gotouge,comic,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/h/thanh-guom-diet-quy---tap-21---ban-dac-biet.jpg,50.000,43.000,Thanh Gươm Diệt Quỷ - Kimetsu No Yaiba - Tập 21: Kí Ức Xa Xăm - [Bản Đặc Biệt] - Tặng Kèm Sticker
"Masashi Kishimoto, Mikio Ikemoto, Ukyo Kodachi",comic,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/o/boruto---naruto-hau-sinh-kha-uy-tap-2.jpg,25.000,21.500,Boruto - Naruto Hậu Sinh Khả Úy - Tập 2: Ông Già Ngốc Nghếch…!!
Koyoharu Gotouge,comic,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/g/tgdq-v22-ckup-08.jpg,25.000,23.750,Thanh Gươm Diệt Quỷ - Kimetsu No Yaiba - Tập 22: Vòng Xoay Vận Mệnh - Tặng Kèm Sticker Tổng Hợp
Tatsuya Endo,comic,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/p/spy-x-family---tap-3.jpg,25.000,21.500,Spy X Family - Tập 3
Koyoharu Gotouge,comic,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/h/thanh-guom-diet-quy-tap-17.jpg,25.000,21.500,Thanh Gươm Diệt Quỷ - Kimetsu No Yaiba - Tập 17: Những Người Kế Tục
TanakaStrike,comic,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/e/servamp---hau-can-ma-ca-rong-tap-12.jpg,25.000,21.500,Servamp - Hầu Cận Ma Cà Rồng - Tập 12
