author,genre,imgURL,old_price,price,title
Minna no Nihonggo,japanese,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/t/i/tieng_nhat_cho_moi_nguoi___so_cap_1_han_tu_ban_tieng_viet_ban_moi_1_2018_08_07_11_40_31.JPG,95.000,80.750,Tiếng Nhật Cho Mọi Người - Sơ Cấp 1 – Hán Tự (Bản Tiếng Việt) (Bản Mới)
NXB Trẻ,japanese,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/l/u/luyen_thi_nang_luc_nhat_ngu_trinh_do_n2___doc_hieu_1_2018_12_21_08_58_16.JPG,50.000,42.500,Luyện Thi Năng Lực Nhật Ngữ Trình Độ N2 - Đọc Hiểu
Nhiều tác giả,japanese,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180746.jpg,110.000,93.500,Luyện Thi Năng Lực Tiếng Nhật Tổng Hợp Từ Vựng N2 - JLPT N2
Arc Academy,japanese,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_26608.jpg,115.000,97.750,N2 - 2500 Từ Vựng Cần Thiết Cho Kỳ Thi Năng Lực Nhật Ngữ
Nhóm tác giả,japanese,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_113826.jpg,90.000,77.400,Giáo Trình Luyện Thi Năng Lực Tiếng Nhật Try! - N4 (Kèm 1 CD)
Arc Academy,japanese,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_26612.jpg,125.000,106.250,N1 - 3000 Từ Vựng Cần Thiết Cho Kỳ Thi Năng Lực Nhật Ngữ
Minna no Nihongo,japanese,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_176631.jpg,75.000,60.000,Tiếng Nhật Cho Mọi Người - Sơ Cấp 1 - Bản Dịch Và Giải Thích Ngữ Pháp - Tiếng Việt (Bản Mới)
"SASAKI HITOKO, MATSUMOTO NORIKO",japanese,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_7960.jpg,60.000,51.000,"Luyện Thi Năng Lực Nhật Ngữ N4. Hán Tự, Từ Vựng"
Arc Academy,japanese,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_26609.jpg,110.000,93.500,N3 - 2000 Từ Vựng Cần Thiết Cho Kỳ Thi Năng Lực Nhật Ngữ
Eriko Sato,japanese,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/t/u/tu_hoc_viet_tieng_nhat_200_chu_kanji_can_ban_tap_1_1_2018_08_07_11_12_29.JPG,60.000,40.800,Tự Học Viết Tiếng Nhật 200 Chữ Kanji Căn Bản (Tập 1)
Mai Ngọc,japanese,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/8/9/8935236408479.jpg,48.000,37.440,Tập Viết Tiếng Nhật Căn Bản Kanji
Nhóm tác giả,japanese,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_113828.jpg,95.000,76.950,Giáo Trình Luyện Thi Năng Lực Tiếng Nhật Try! - N2 (Kèm 1 CD)
Nhóm tác giả,japanese,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_113829.jpg,95.000,81.700,Giáo Trình Luyện Thi Năng Lực Tiếng Nhật Try! - N1 (Kèm 1 CD)
Minna no Nihongo,japanese,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/t/i/tieng_nhat_cho_moi_nguoi___trinh_do_so_cap_1___tong_hop_cac_bai_tap_chu_diem_ban_moi_1_2018_08_07_11_40_41.JPG,45.000,38.250,Tiếng Nhật Cho Mọi Người - Trình Độ Sơ Cấp 1 - Tổng Hợp Các Bài Tập Chủ Điểm (Bản Mới)
