author,genre,imgURL,old_price,price,title
Emily Esfahanismith,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_26249.jpg,202.000,161.600,The Power of Meaning: Finding Fulfillment in a World Obsessed with Happiness
Johann Hari,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/7/9781408878729.jpg,0.00,177.000,Lost Connections: Why You’re Depressed And How To Find Hope
Edward de Bono,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_194640.jpg,232.000,185.600,Six Thinking Hats
Mark Manson,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/_/1_67_1.jpg,248.000,210.800,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life
Marianne Williamson,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_36009.jpg,269.000,228.650,A Woman's Worth
Brene Brown,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_189013.jpg,248.000,220.720,Gifts of Imperfection
Bìa Mềm,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_120033.jpg,109.000,92.650,The Little Book of Calm
Gary John Bishop,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_12755.jpg,308.000,261.800,Unfu*k Yourself: Get Out of Your Head and Into Your Life
Dan Ariely,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_217188.jpg,181.000,153.850,The Upside Of Irrationality: The Unexpected Benefits Of Defying Logic At Work And At Home
"Liz Fosslien, Mollie West Duffy",life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_30019.jpg,336.000,285.600,No Hard Feelings: Emotions At Work And How They Help Us Succeed
Dale Carnegie,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_23381.jpg,126.000,107.100,How To Develop Selfconfidence
Kelly Corrigan,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_24591.jpg,269.000,201.750,Tell Me More: Stories About the 12 Hardest Things I'm Learning to Say
Ken Watanabe,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/7/9780091929664_3.jpg,231.000,196.350,Problem Solving 101: A Simple Book for Smart People
"Jack Canfield,Mark Victor Hansen,Wendy Walker,Scott Hamilton",life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_36708.jpg,239.000,203.150,"Chicken Soup for the Soul: Thanks Dad: 101 Stories of Gratitude, Love, and Good Times"
Pamela Meyer,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_194649.jpg,314.000,266.900,Liespotting: Proven Techniques to Detect Deception
Phil Chambers,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_19292.jpg,142.000,120.700,How To Train Your Memory (How To: Academy)
"Benjamin Spall, Michael Xander",life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_30017.jpg,224.000,190.400,My Morning Routine: How Successful People Start Every Day Inspired
"Tony Schwartz, Jean Gomes, Catherine McCarthy",life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_200724.jpg,165.000,132.000,"Đừng Làm Việc Chăm Chỉ, Hãy Làm Việc Thông Minh"
Vĩ Nhân,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/u/n/untitled-7_2_8.jpg,115.000,74.750,Khi Bạn Đang Mơ Thì Người Khác Đang Nỗ Lực
Albert Rutherford,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_18448.jpg,99.000,77.220,Rèn Luyện Tư Duy Phản Biện
Dr Harry Barry,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_31170.jpg,571.000,485.350,Self-Acceptance
Rick Hanson,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_193803.jpg,265.000,225.250,Resilient: 12 Tools for transforming everyday experiences into lasting happiness
Marci Shimoff,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_194067.jpg,268.000,201.000,Love For No Reason: 7 Steps to Creating a Life of Unconditional Love
Giản Tư Trung,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/u/n/untitled-2dungviec.jpg,95.000,76.000,Đúng Việc - Một Góc Nhìn Về Câu Chuyện Khai Minh (Tái Bản 2021)
Nguyên Phong,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_12814.jpg,88.000,59.840,Trở Về Từ Cõi Sáng
Lý Kiệt,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/k/l/kllncn.jpg,110.000,77.000,Kỷ Luật Làm Nên Con Người
Wayne Cordeiro,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_182850.jpg,50.000,34.000,Thái Độ Quyết Định Thành Công (Tái Bản)
Oliver Sacks,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_38524.jpg,296.000,251.600,Everything In Its Place
"Trọng Nghĩa, Bình Nhiên",life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_219257.jpg,55.000,38.500,Ở Đây Có Bí Kíp Cưa Crush
Joe Vitale,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_200748.jpg,268.000,214.400,Triệu Phú Thức Tỉnh - Bí Kíp Để Khơi Dòng Suối Nguồn Thịnh Vượng Trong Tâm Thức
Tim S. Grover,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_18768.jpg,282.000,239.700,Relentless: From Good to Great to Unstoppable
Kiên Trần,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_37011.jpg,200.000,120.000,Đừng Chạy Theo Số Đông
Amy Morin,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/7/9780062847638.jpg,238.000,202.300,13 Things Mentally Strong Women Don't Do
"Bill Burnett, Dave Evans",life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_4390.jpg,118.000,80.240,Thiết Kế Một Cuộc Đời Đáng Sống
Tiểu Dã,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/k/y/kyluattugiac-bia1.jpg,84.000,67.200,Kỷ Luật Tự Giác
Lục Vi,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_221905.jpg,155.000,124.000,Yêu Nhà
Stephen R Covey,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/7/9786045843888.jpg,165.000,132.000,7 Thói Quen Hiệu Quả - Bìa Cứng (Tái Bản 2020)
Jordan B Peterson,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_31240.jpg,300.000,180.000,12 Quy Luật Cuộc Đời: Thần Dược Cho Cuộc Sống Hiện Đại
Eran Katz,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/r/tr_-tue-do-thai_outline_15.9.2017-02.jpg,169.000,124.215,Trí Tuệ Do Thái (Tái Bản 2018)
Rando Kim,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_179065.jpg,95.000,76.000,Trưởng Thành Sau Ngàn Lần Tranh Đấu (Tái Bản 2018)
TS Lê Thẩm Dương,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/m/am-xuc-2021.jpg,150.000,135.000,Cảm Xúc Là Kẻ Thù Số Một Của Thành Công - Phiên Bản 2021
Ban Mã,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/h/changmuadong-1.jpg,98.000,76.440,Chẳng Mùa Đông Nào Không Thể Vượt Qua
Lý Thượng Long,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/9/8936067603156.jpg,110.000,71.500,Không Nỗ Lực Đừng Tham Vọng
Nguyễn Phi Vân,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_2721.jpg,160.000,96.000,"Tôi, Tương Lai Và Thế Giới"
Darshani Deane,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195014.jpg,88.000,59.840,Minh Triết Trong Đời Sống (Tái Bản 2019)
Mo Gawdat,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_17745.jpg,204.000,173.400,Solve For Happy: Engineer Your Path to Joy
Don Gabor,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_190115.jpg,96.000,65.280,Sức Mạnh Của Ngôn Từ (Tái Bản 2019)
Joseph Murphy,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_186505.jpg,158.000,107.440,Sức Mạnh Tiềm Thức (Bìa Cứng) - Tái Bản
Carole Berger,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_48352.jpg,109.000,76.300,"Ho’oponopono: Sống Như Người Hawaii - Chấp Nhận, Biết Ơn Và Tha Thứ"
"Sr. Rob Hill,Jas Waters",life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180164_1_43_1_57_1_4_1_2_1_23.jpg,381.000,323.850,The Missing Piece
Osho,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_47390.jpg,109.000,76.300,Osho Phụ Nữ - The Book Of Women
Narayan Helen Liebenson,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195832.jpg,298.000,253.300,The Magnanimous Heart
Sean Covey,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_44169.jpg,128.000,87.040,7 Thói Quen Của Bạn Trẻ Thành Đạt (Khổ Lớn) (Tái Bản 2020)
Caroline Arnold ,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_200376.jpg,302.000,256.700,"Small Move, Big Change : Using Microresolutions To Transform Your Life Permanently"
Michael Gates Gill,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_21302.jpg,224.000,168.000,How to Save Your Own Life
"S J Scott, Barrie Davenport",life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_188134.jpg,169.000,135.200,10 Phút Tĩnh Tâm - 71 Thói Quen Cân Bằng Cuộc Sống Hiện Đại
"The Try Guys, Keith Habersberger, Zach Kornfeld, Eugene Lee Yang, Ned Fulmer",life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_36489.jpg,350.000,297.500,The Hidden Power Of F*cking Up
Richard Carlson,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_6771.jpg,173.000,147.050,"Stop Thinking, Start Living: Discover Lifelong Happiness (Book Artwork May Vary)"
Gabrielle Bernstein,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-toi-la-diem-tua-cua-chinh-minh.jpg,89.000,72.090,Tôi Là Điểm Tựa Của Chính Mình
"Jack Canfield,Hansen Victor,Mark Victor Hansen,Maida Rogerson,Martin Rutte",life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_194834.jpg,149.000,126.650,"Chicken Soup for the Soul at Work - Export Edition : Stories of Courage, Compassion and Creativity in the Workplace"
Marilee Adams,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_218917.jpg,335.000,284.750,"Change Your Questions, Change Your Life: 12 Powerful Tools For Leadership, Coaching, And Life"
Christopher Chabris,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_217187.jpg,197.000,167.450,The Invisible Gorilla: And Other Ways Our Intuition Deceives Us
Anneli Rufus,life-skill,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_50514.jpg,256.000,192.000,Unworthy : How to Stop Hating Yourself
