author,genre,imgURL,old_price,price,title
Rick Riordan,light-novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_40726.jpg,208.000,176.800,Percy Jackson & the Olympians: The Ultimate Guide
Rick Riordan,light-novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/7/9780141363967.jpg,139.000,118.150,The Dark Prophecy (The Trials of Apollo Book 2)
Samantha Shannon,light-novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_220144.jpg,198.000,168.300,The Priory Of The Orange Tree
Kat Cho,light-novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_215333.jpg,173.000,147.050,Dokkaebi: Vicious Spirits
Rick Riordan,light-novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_194132.jpg,198.000,148.500,9 From the Nine Worlds
"Neil Gaiman,Sir Terence David John Pratchett",light-novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_106519.jpg,126.000,119.700,"Good Omens : The Nice and Accurate Prophecies of Agnes Nutter, Witch"
Rick Riordan,light-novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_50748.jpg,163.000,138.550,The Blood of Olympus: Heroes of Olympus Book 5
Sophie Cameron,light-novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_217829.jpg,158.000,134.300,Last Bus To Everland
"C S Lewis,Pauline Baynes",light-novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_55553.jpg,126.000,107.100,"The Lion, the Witch, and the Wardrobe"
Neil Gaiman,light-novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/7/9781526619211.jpg,177.000,150.450,Norse Mythology
Jennifer Donnelly,light-novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_140183.jpg,314.000,251.200,Beauty and the Beast: Lost in a Book
Neil Gaiman,light-novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/7/9780062699541.jpg,238.000,190.400,Fragile Things: Short Fictions and Wonders
J R R Tolkien,light-novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_106833.jpg,157.000,133.450,"The Two Towers : The Lord of the Rings, Part 2"
