author,genre,imgURL,old_price,price,title
Tom Siebel,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_56090_1.jpg,145.000,123.250,Chuyển Đổi Số - Digital Transformation (Tái Bản 2021)
David J LiebermanS,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/d/o/doc_vi_bat_ky_ai___ap_dung_trong_doanh_nghiep_1_2018_07_16_08_53_02.jpg,89.000,62.300,Đọc Vị Bất Kỳ Ai - Áp Dụng Trong Doanh Nghiệp
Ryuichiro Nakao,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/_/1/_1_169_kpi.png,129.000,100.620,KPI - Công Cụ Quản Lý Nhân Sự Hiệu Quả
John C Maxwell,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_186706.jpg,159.000,124.020,Nhà Lãnh Đạo 360 Độ (Tái Bản 2019)
Michael J Marquardt,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/l/a/lanh_dao_bang_cau_hoi_1_2018_11_17_10_59_16.jpg,108.000,64.800,Lãnh Đạo Bằng Câu Hỏi
"Donald J Trump, Tony Schartz",management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_49918.jpg,109.000,92.650,D. Trump - Nghệ Thuật Đàm Phán (Tái Bản 2020)
John C Maxwell,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_8959.jpg,129.000,100.620,21 Nguyên Tắc Vàng Của Nghệ Thuật Lãnh Đạo (Tái Bản 2019)
Bùi Xuân Phong,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_214069.jpg,159.000,103.350,Quản Trị Khách Sạn - Biến Đam Mê Thành Dịch Vụ Hoàn Hảo (Tái Bản 2020)
John J Kao,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_27040.jpg,224.000,190.400,Jamming: The Art and Discipline of Corporate Creativity
T Harv Eker,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_188995_1.jpg,92.000,62.560,Bí Mật Tư Duy Triệu Phú (Tái Bản 2019)
Robin Sharma,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_2178.jpg,108.000,73.440,Thuật Lãnh Đạo Từ Vị Tu Sĩ Bán Chiếc Ferrari - 8 Nguyên Tắc Của Nhà Lãnh Đạo Thông Thái
Anthony Gell,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_183263.jpg,218.000,174.400,"The Book Of Leadership - Dẫn Dắt Bản Thân, Đội Nhóm Và Tổ Chức Vươn Xa"
Sheryl Sandberg,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_221437.jpg,331.000,281.350,"Option B: Facing Adversity, Building Resilience, And Finding Joy"
Trần Tường Minh,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/8/9/8935092542881.jpg,169.000,131.820,Tôn Tử Binh Pháp & 36 Kế (Bìa Cứng)
Malcolm Smith,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_34064.jpg,1.085.000,759.500,Research Methods In Accounting
Steven a. Silbiger,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_29671.jpg,308.000,261.800,The Ten-Day MBA: A Step-By-Step Guide To Mastering The Skills Taught In America's Top Business Schools
John C Maxwell,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/t/i/tinh_hoa_lanh_dao_outline_28.3.2019-01.jpg,139.000,102.165,Tinh Hoa Lãnh Đạo (Tái Bản 2019)
Ken Blanchard,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_36636.jpg,308.000,261.800,Who Killed Change?: Solving The Mystery Of Leading People Through Change
Bruce Nussbaum,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_26952.jpg,320.000,272.000,"Creative Intelligence: Harnessing the Power to Create, Connect, and Inspire"
Celeste Headlee,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_215546.jpg,260.000,221.000,"Do Nothing: How To Break Away From Overworking, Overdoing, And Underliving"
Richard L Dafl,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_193617.jpg,383.000,348.530,Kỷ Nguyên Mới Của Quản Trị
"Peter F. Drucker,Clayton M. Christensen,Michael E. Porter,Daniel Goleman",management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_181313.jpg,493.000,394.400,HBR'S 10 Must Reads: The Essentials
Harvard Business Review,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_181374.jpg,1.752.000,1.489.200,HBR's 10 Must Reads Leadership Collection (4 Books) (HBR's 10 Must Reads)
"Chris Zook,James Allen",management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_181194.jpg,553.000,470.050,Repeatability
"Rasmus Hougaard,Jacqueline Carter",management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_181427.jpg,553.000,470.050,The Mind of the Leader
"Donald J Trump,Meredith McIver",management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/9/7/9780345481030-1.jpg,144.000,122.400,Trump: How to Get Rich
"Karen Berman, Joe Knight, John Case",management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_219847.jpg,199.000,151.000,Trí Tuệ Tài Chính Dành Cho Nhà Quản Lý Nhân Sự - Financial Intelligence
"James C Collins,Jim Collins",management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/9/7/9780066620992.jpg,468.000,397.800,Good to Great : Why Some Companies Make the Leap...and Others Don't
NXB Hồng Đức,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/66x/9df78eab33525d08d6e5fb8d27136e95/8/9/8935088548378.jpg,129.000,104.490,Tứ Thư
"Professor Sir Cary Cooper, Stefan Stern",management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_191829.jpg,277.000,235.450,Myths of Management: What People Get Wrong About Being the Boss
"Peter F. Drucker, Joseph A. Maciariello",management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_36517.jpg,350.000,297.500,The Effective Executive In Action: A Journal For Getting The Right Things Done
Harvard Business Review,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_181458.jpg,553.000,470.050,The Harvard Business Review Manager's Handbook - 2017
Jon Gordon,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_217176.jpg,99.000,69.300,Lãnh Đạo Kiệt Xuất Trước Hết Là Đồng Đội Tốt Nhất
Honma Shohaku,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_16161.jpg,189.000,132.300,Quản Lý Chuỗi Cung Ứng For Dummies
"Steven D. Levitt, Stephen J. Dubner",management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/t/h/think_like_a_freak_the_authors_of_freakonomics_offer_to_retrain_your_brain_1_2018_08_21_15_04_19.jpg,124.000,105.400,Think Like a Freak: The Authors of Freakonomics Offer to Retrain Your Brain
David Ulrich,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_181558.jpg,830.000,738.700,Human Resource Champions
Harvard Business Review,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_40430.jpg,394.000,334.900,HBR Guide To Motivating People (HBR Guide Series)
"Jim Collins, Morten T. Hansen",management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_128590.jpg,458.000,389.300,"Great by Choice: Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All"
Hòa Nhân,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/m/a/maubiasach_1_4.jpg,899.000,629.300,Bộ Hộp Gỗ Tứ Thư Lãnh Đạo
Dr Craig Nathanson,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_221483.jpg,110.000,66.000,Đắc Nhân Tâm Cho Nhà Quản Lý
Masato Inada,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_2755.jpg,99.000,69.300,PDCA Chuyên Nghiệp (Tái Bản 2019)
Sally Bibb,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_220804.jpg,120.000,78.000,Chọn Đúng Người Vào Đúng Việc
Brian Tracy,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_41653.jpg,148.000,118.400,Lập Kế Hoạch Phát Triển Kinh Doanh
"Simon Sinek,David Mead,Peter Docker",management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_173132.jpg,322.000,273.700,Find Your Why
John C Maxwell,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/q/_/q_8.jpg,119.000,92.820,Nhà Lãnh Đạo Giỏi Giải Quyết Vấn Đề Như Thế Nào ? (Tái Bản 2018)
Benjamin Sweeney,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/b/i/bia_1_3_2.jpg,95.000,74.100,Hướng Dẫn Triển Khai Lean Six Sigma - Lean Six Sigma Quickstart Guide
"Barbara Mitchell, Cornelia Gamlem",management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/q/u/quan_tri_nhan_su_dung-01.jpg,239.000,175.665,Quản Trị Nhân Sự Đúng
Ken Blanchard,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_36520.jpg,280.000,238.000,Putting The One Minute Manager To Work: How To Turn The 3 Secrets Into Skills
Nguyễn Hiến Lê,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_1704.jpg,113.000,90.400,Tổ Chức Công Việc Làm Ăn
Paul Falcone,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_44150.jpg,149.000,119.200,101 Tình Huống Nhân Sự Nan Giải (Tái Bản 2020)
John C. Maxwell,management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/8/9/8935246915387-1.jpg,59.000,47.200,Cố Vấn 101 - Những Điều Nhà Lãnh Đạo Cần Biết
"Tim J Smith, William Poundstone, Reed K Holden, Mark Burton",management,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/c/o/combo-29062020_2.jpg,597.000,477.600,Bộ Sách Về Định Giá Sản Phẩm (Bộ 3 Cuốn)
