author,genre,imgURL,old_price,price,title
Sean Pillot de Chenecey,marketing,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_191848.jpg,277.000,235.450,The Post-Truth Business: How to Rebuild Brand Authenticity in a Distrusting World
Dan Ariely,marketing,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/7/9780062086440.jpg,110.000,93.500,The Upside Of Irrationality: The Unexpected Benefits Of Defying Logic At Work And Home
"Susan Ershler, John Waechter",marketing,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_26967.jpg,406.000,345.100,"Conquering the Seven Summits of Sales: From Everest to Every Business, Achieving Peak Performance"
David E. Carter,marketing,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_36633.jpg,490.000,416.500,The Big Book Of Design Ideas
Jonah Berger,marketing,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_193917.jpg,245.000,196.000,Invisible Influence
Nguyễn Dương,marketing,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_49944.jpg,250.000,150.000,Trải Nghiệm Khách Hàng Xuất Sắc
Ayantunji Gbadamosi,marketing,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_34319.jpg,1.033.000,723.100,Contemporary Issues In Marketing: Principles And Practice
A. J. Earley,marketing,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_34156.jpg,413.000,289.100,"A Very Short, Fairly Interesting, Reasonably Cheap Book About... International Marketing"
Jeffrey Gitomer,marketing,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_36534.jpg,420.000,357.000,"The Sales Bible: The Ultimate Sales Resource, New Edition"
Rich Leigh,marketing,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_191845.jpg,277.000,235.450,Myths of PR: All Publicity is Good Publicity and Other Popular Misconceptions
Jeetendr Sehdev,marketing,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_218627.jpg,307.000,260.950,The Kim Kardashian Principle
Itamar Simonson,marketing,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/7/9780062215673.jpg,392.000,333.200,Absolute Value
