author,genre,imgURL,old_price,price,title
Cù Mai Công,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/x/nxbtre_full_04102021_121045.jpg,65.000,55.250,"Sài Gòn Một Thuở ""Dân Ông Tạ Đó!"""
Jerome David Salinger,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-bat-tre-dong-xanh-in_2.jpg,88.000,70.400,Bắt Trẻ Đồng Xanh (Tái Bản 2020)
Li Qiong,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia---trenthegioicotramngankieuyeu.jpg,99.000,77.220,Trên Thế Giới Có Trăm Ngàn Kiểu Yêu
Chanhyuk Lee,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/h/nhucagapnuoc_toai-01.jpg,96.000,81.600,Như Cá Gặp Nước
Nguyễn Nhật Ánh,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180916.jpg,58.000,46.400,Bong Bóng Lên Trời (Tái Bản 2019)
Nguyễn Nhật Ánh,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180164_2_307.jpg,70.000,56.000,Đi Qua Hoa Cúc
Kazuo Ishiguro,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_222112.jpg,169.000,143.650,Tàn Ngày Để Lại
Erich Maria Remarque,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/9/8936071673787.jpg,120.000,78.000,Khải Hoàn Môn
Cổ Viên,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_219804.jpg,150.000,127.500,Đất Mồ Côi
Nguyễn Nhật Ánh,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/9/8934974158592.jpg,60.000,48.000,Hạ Đỏ (Tái Bản 2018)
Higashino Keigo,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/9/8936186547447.jpg,129.000,103.200,Ngôi Nhà Của Người Cá Say Ngủ (Tái Bản 2020)
Agatha Christie,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_220079.jpg,115.000,97.750,Năm Chú Heo Con - Five Little Pigs
Mặc Hương Đồng Khứu,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/madaotosutap45.jpg,298.000,235.420,Bộ Sách Ma Đạo Tổ Sư - Tập 3&4
Lê Ngọc Minh,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_197010.jpg,145.000,116.000,Kẻ Truy Sát
Honore De Balzac,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_184768.jpg,92.000,59.800,Miếng Da Lừa
Erich Maria Remarque,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/9/8936071674081.jpg,70.000,54.600,Bản Du Ca Cuối Cùng
Nguyễn Nhật Ánh,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180917.jpg,55.000,44.000,Nữ Sinh (Tái Bản 2019)
Natsume Sōseki,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/_/b_a-c_-ven-_ng.jpg,139.000,111.200,Cỏ Ven Đường
Nguyễn Nhật Ánh,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/9/8934974158530.jpg,82.000,69.700,Trại Hoa Vàng (Tái Bản 2018)
Nguyễn Nhật Ánh,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180927.jpg,48.000,38.400,Thiên Thần Nhỏ Của Tôi (Tái Bản 2019)
Ernest Hemingway,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_10158.jpg,28.000,18.200,Ông Già Và Biển Cả
Nguyễn Nhật Ánh,novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/biacung_1_1.jpg,270.000,202.500,Con Chim Xanh Biếc Bay Về - Bìa Cứng - Tặng Kèm 6 Postcard
