author,genre,imgURL,old_price,price,title
Long Thất,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/u/n/untitled-14_1_25.jpg,258.000,208.980,"Đám Bạn Trai Cùng Cầu Hôn, Làm Sao Đây! (Bộ 2 Tập)"
Lư Tư Hạo,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia_dapanthoigian.jpg,119.000,95.200,Đáp Án Của Thời Gian
Tân Di Ổ,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/_/b_a_tr_c_anh_co_thich_nuoc_my_khong_tb_full_outphim.jpg,138.000,96.600,Anh Có Thích Nước Mỹ Không? (Tái Bản 2018)
Diệp Lạc Vô Tâm,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/9/8935212339537.jpg,108.000,72.360,Em Vốn Thích Cô Độc Cho Đến Khi Có Anh (Yêu Là Thế Tái Bản) - 2020
Bất Vấn Tam Cửu,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/_/b_a---h_nh-x_m_2.jpg,159.000,127.200,Hình Xăm
Phong Thư Lưu Ngốc,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-mem_cao-thu_tap-1.jpg,149.000,119.200,Cao Thủ “Đổi Đen Thay Trắng” - Tập 1
Cửu Nguyệt Hi,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/h/th_i-ni_n-thi_u-c_a-anh-v_-em.jpg,120.000,93.600,Thời Niên Thiếu Của Anh Và Em
Diệp Lạc Vô Tâm,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/u/n/untitled-3_27_8.jpg,135.000,90.450,Mãi Mãi Là Bao Xa (Tái Bản 2019)
PEPA,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/9/893-618-654-527-6.jpg,159.000,127.200,Tui Ship Đối Thủ X Tui - Tặng Kèm Bookmark + Postcard
Vãn Tình,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_222441.jpg,149.000,119.200,Rất Thích Rất Thích Em
Tự Từ,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/9/8935250712002.jpg,60.000,45.000,Người Thắp Sao Trời
Ân Tầm,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/n/bnnvpb.jpg,258.000,206.400,Bảy Năm Vẫn Ngoảnh Về Phương Bắc (Bộ 2 Tập: 6.7) - Tặng Kèm Bookmark + Thiệp Cưới
Đại Phong Quát Quá,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/r/tr_ng-nh_-_---b_a-_o.jpg,159.000,127.200,Trứng Như Ý
Thư Nghi,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_41937.jpg,129.000,86.430,Từng Có Người Yêu Tôi Như Sinh Mệnh (Tái Bản 2020)
Cố Tây Tước,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_38340.jpg,119.000,79.730,All In Love - Ngập Tràn Yêu Thương (Tái Bản 2020)
Lục Dã Thiên Hạc,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/i/diortiensinh333333.jpg,274.000,219.200,Dior Tiên Sinh (Bộ 2 Tập)
Mặc Hương Đồng Khứu,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-1-mem_thien-quan-tu-phuc-_tap-2_.jpg,149.000,119.200,Thiên Quan Tứ Phúc - Tập 2
Mặc Hương Đồng Khứu,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/1/118087351_252537175725948_1753576288010280772_n.jpg,149.000,119.200,Thiên Quan Tứ Phúc - Tập 1
Mặc Hương Đồng Khứu,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-1_he-thong-tu-cuu-_tap-1__mem.jpg,149.000,120.690,Hệ Thống Tự Cứu Của Nhân Vật Phản Diện - Tập 1
Mặc Hương Đồng Khứu,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-mem_he-thong-tap-2.jpg,149.000,119.200,Hệ Thống Tự Cứu Của Nhân Vật Phản Diện - Tập 2
Mặc Hương Đồng Khứu,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-1_he-thong-tu-cuu_tap-3-mem-_1_.jpg,149.000,119.200,Hệ Thống Tự Cứu Của Nhân Vật Phản Diện - Tập 3
Nguyệt Hạ Tang,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-1_cho-hoa-nguyen-soai-no.jpg,109.000,87.200,Chờ Hoa Nguyên Soái Nở
Priest,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/u/n/untitled-1_23_3.jpg,248.000,200.880,Combo Đại Ca (Bộ 2 Tập)
Kiều Nhất,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_182005_1.jpg,99.000,79.200,"Anh Không Thích Thế Giới Này, Anh Chỉ Thích Em"
Điền Phản,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/9/8936186545450.jpg,236.000,188.800,Lực Cơ Học Của Tình Yêu (Bộ 2 Tập) - Tặng Kèm Postcard Có Trích Dẫn Truyện
Tào Đình,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/y/e/yeu-anh-hon-ca-tu-than-bia-truoc.jpg,78.000,54.600,Yêu Anh Hơn Cả Tử Thần (Tái Bản 2019)
Diệp Lạc Vô Tâm,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/g/ngan_nam_cho_doi_5a499550e6b74f79bc3a79e9790b46ec_master.jpg,45.000,30.150,Ngàn Năm Chờ Đợi (Tái Bản)
Cố Mạn,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_194235.jpg,119.000,95.200,Yêu Em Từ Cái Nhìn Đầu Tiên (Tái Bản 2016)
Lan Rùa,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_182309.jpg,98.000,77.420,Tớ Thích Cậu Hơn Cả Harvard
Phỉ Ngã Tư Tồn,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-ao-1.jpg,255.000,198.900,Đông Cung (Bộ 2 Tập)
Diệp Tử,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_216249.jpg,180.000,120.600,Bạn Trai Tôi Mắc Chứng Hoang Tưởng
Chu Ngọc,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_22779.jpg,119.000,98.770,Đạo Tình - Tập 1
Quất Tử Thần,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_223387.jpg,168.000,134.400,Bất Tri Đông Phương Ký Bạch - Chẳng Hay Vầng Đông Đã Sáng Tự Khi Nào
Ân Tầm,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/u/n/untitled-28.jpg,258.000,206.400,Đừng Để Lỡ Nhau (Tập 1&2)
Khốn Ỷ Nguy Lâu,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-1_binh-hoa-_phien-ban-thuong_.jpg,129.000,104.490,Bình Hoa (Phiên Bản Thường)
Diệp Lạc Vô Tâm,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_14865.jpg,79.000,52.930,Sự Dịu Dàng Khó Cưỡng (Tái Bản 2019)
Diệp Lạc Vô Tâm,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/d/2d_cho_em_lon_nhe_duoc_khong_89213e9e58fe4b44b23016aad1ddaad7_master.jpg,99.000,66.330,"Chờ Em Lớn Nhé, Được Không? (Tái Bản 2019)"
Diệp Lạc Vô Tâm,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/d/2d_81a3bd42598d4926934ae5c20a015663_master.jpg,118.000,79.060,Động Phòng Hoa Chúc Cách Vách (Tái Bản 2019)
Nguyệt Hạ Tang,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-1_kcks_tap-1_ao.jpg,159.000,127.200,Không Có Kiếp Sau - Tập 1
Mạn Mạn Hà Kỳ Đa,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/n/anhde2tap_1.jpg,239.000,191.200,Ảnh Đế (Bộ 2 Tập)
Cửu Lộ Phi Hương,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/u/n/untitled-3xxxxxxxxx.jpg,258.000,206.400,Bổn Vương Ở Đây (Bộ 2 Tập)
Hoa Thanh Thần,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/_/3_65.jpg,189.000,151.200,Em Kể Anh Nghe Chuyện Yêu Thầm (Trọn bộ 2 Tập)
Giá Oản Chúc,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_12646.jpg,196.000,144.060,Anh Yêu Em Rồi Phải Không (Bộ 2 Tập)
Mạch Ngôn Xuyên,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_216381.jpg,269.000,215.200,Quả Ngọt Năm Tháng (Bộ 2 Tập)
Triêu Tiểu Thành,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_21431.jpg,135.000,90.450,Đen Trắng
Cố Mạn,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_220303.jpg,138.000,96.600,Tôi Như Ánh Dương Rạng Rỡ (Tái Bản 2021)
Quan Đông Dã Khách,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/1/b1-t_i-c_-m_t-ch_n-r_u_1.jpg,109.000,87.200,"Tôi Có Một Chén Rượu, Có Thể Xoa Dịu Hồng Trần (Tái Bản 2020)"
Lạc Vi Gian Mỗ Mỗ,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/9/8935212353144.jpg,258.000,172.860,"Uống Nhầm Một Ánh Mắt, Cơn Say Theo Cả Đời (Bộ 2 Tập) - Tặng Kèm Postcard + Tranh Cổ Phong"
Tân Di Ổ,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/f/ffff_2.jpg,199.000,109.450,Chúng Ta
Priest,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-mem_tran-hon_tap-2.jpg,149.000,119.200,Trấn Hồn - Tập 2
Diệp Lạc Vô Tâm,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_12560.jpg,132.000,88.440,Nếu Không Là Tình Yêu (Tái Bản 2019)
Bánh Donut Của Trẫm,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/h/th_ng-tin-n--anh-gia-vo-se-khong-yeu-emb1.jpg,152.000,121.600,Anh Giả Vờ Sẽ Không Yêu Em
Mèo Lười Ngủ Ngày,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_40324_1.jpg,150.000,100.500,Hủ Nữ Gaga
Chu Ngọc,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_22888.jpg,119.000,98.770,Đạo Tình - Tập 2
Bản Lật Tử,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/_/t_nh-y_u-c_a-anh-th_-gi_i-c_a-em---b_a.jpg,179.000,143.200,"Tình Yêu Của Anh, Thế Giới Của Em - Tặng Kèm Bookmark + Postcard + Poster"
Cửu Bả Đao,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-1_10.jpg,99.000,84.150,Tình Yêu Hai Tốt Ba Xấu
Mặc Bảo Phi Bảo,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/f/fffffffffff.jpg,129.000,86.430,"Rất Nhớ, Rất Nhớ Anh (Tái Bản 2019)"
Bạch Lạc Mai,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_178479.jpg,108.000,85.320,"Nếu Em An Lành, Đó Là Ngày Nắng (Bìa Mềm)"
Phỉ Ngã Tư Tồn,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia1-khong-kip-noi-yeu-em.jpg,119.000,101.150,Không Kịp Nói Yêu Em
Bạch Lạc Mai,romance,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia_36.jpg,125.000,97.500,Người Là Cuộc Tu Hành Đẹp Nhất Kiếp Này Của Tôi
