author,genre,imgURL,old_price,price,title
Choi Kwanghuyn,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_31258.jpg,98.000,76.440,Hai Mặt Của Gia Đình
"Linh, Du Phong",short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_223396.jpg,99.000,79.200,Dành Năm Tháng Để Yêu Người Xứng Đáng
Hiên,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_43091.jpg,83.000,66.400,Vẫn Là Mùa Hạ Nhưng Không Còn Chúng Ta
Kulzsc,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_189766.jpg,86.000,68.800,Phải Lòng Với Cô Đơn
Dưa Hấu Hạt Tím,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_196451.jpg,92.000,73.600,Thế Giới Rộng Lớn Lòng Người Chật Hẹp
Khotudien,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_198719.jpg,69.000,55.200,Từ Điển Tiếng “Em”
Miêu Công Tử,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/h/th_ng-tin-xu_t-b_n-999-la-thu-gui-cho-chinh-minh-an-ban-k.jpg,222.000,177.600,999 Lá Thư Gửi Cho Chính Mình - Ấn Bản Kỷ Niệm Năm 2021 (Bìa Cứng)
Hall Of Dreamers,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509.jpg,88.000,70.400,Hôm Nay Em Có Ổn Không?
Thảo Thảo,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/139990755_1302883240068333_3844579474690419303_n.jpg,86.000,68.800,"Chúng Ta Rồi Sẽ Hạnh Phúc, Theo Những Cách Khác Nhau"
BS Wynn Huỳnh Trần,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/i/gioi-thieu-sach-dr-wynn-4.jpg,119.000,95.200,Chuyện ICU - Khi Thiên Thần Nhiễm Bệnh
Miêu Công Tử,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_217474.jpg,129.000,103.200,999 Lá Thư Gửi Cho Chính Mình - Mong Bạn Trở Thành Phiên Bản Hoàn Hảo Nhất (Phiên Bản Song Ngữ) - Tập 2
Park Joon,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/h/thegioisechangcogithaydoi_dapfont-1_3.jpg,78.000,62.400,Thế Giới Này Sẽ Chẳng Có Gì Thay Đổi Kể Cả Khi Bạn Khóc (Tái Bản 2020)
"Trịnh Nam Trân, Kỳ Anh Trần",short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia_sao-em-buon-den-the-_1.jpg,83.000,66.400,Sao Em Buồn Đến Thế?
Ở Đây Zui Nè,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_33312.jpg,69.000,55.200,Vui Vẻ Không Quạu Nha
NVCS Entertainment,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-1-cuc-suc_2_1.jpg,0,0,"Đời Có Mấy Tý, Sao Phải Nghĩ - Tặng 3 Postcard + Móc Khóa"
Yến Nhi,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/u/cu-khoc-cu-tan-vo-va-tuong-thanh-bia-1-01.jpg,78.000,62.400,"Cứ Khóc, Cứ Tan Vỡ Và Trưởng Thành"
Miêu Công Tử,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_51699.jpg,129.000,103.200,999 Lá Thư Gửi Cho Chính Mình - Mong Bạn Trở Thành Phiên Bản Hoàn Hảo Nhất (Phiên Bản Song Ngữ) - Tập 1
a Tòn,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia1-quen-mot-nguoi-la-chuyen-cua-thoi-gian_2.jpg,89.000,71.200,Quên Một Người Là Chuyện Của Thời Gian
Jenny Kiều,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/h/ph_-n_-hi_u-bi_t-s_-c_-cu_c-s_ng-_ng-c_p-h_n---b_a.jpg,119.000,101.150,Phụ Nữ Hiểu Biết Sẽ Có Cuộc Sống Đẳng Cấp Hơn
"Trịnh Nam Trân, Kỳ Anh",short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia1-namthuongthangnho.jpg,83.000,65.570,"Năm Thương, Tháng Nhớ, Không Ngày Gửi Đi"
Trí,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_1_1_1.jpg,96.000,76.800,Có Một Người Từng Là Tất Cả
Nhiều Tác Giả,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/o/co-mot-ngay-bo-me-se-gia-di.jpg,96.000,76.800,"Có Một Ngày, Bố Mẹ Sẽ Già Đi"
Trí,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_41181.jpg,89.000,71.200,"Mình Buồn Đủ Rồi, Mình Hạnh Phúc Thôi! - Kèm Chữ Ký + 3 Postcard"
Trương Hạo Thần,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_187101.jpg,115.000,92.000,Bạn Có Một Thư Mới Chưa Đọc!
Việt Hà,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_211841.jpg,93.000,74.400,Mùi Mẹ
Dae Ho Choi,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/o/toimu_nng.jpg,90.000,72.000,Tôi Muốn Sống Cuộc Sống Bình Thường (Nhưng Sống Bình Thường Cũng Rất Khốc Liệt) - Tặng Kèm 5 Postcard
Sơn Nam,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/x/nxbtre_full_13482018_094847.jpg,105.000,89.250,"Đồng Bằng Sông Cửu Long - Nét Sinh Hoạt Xưa, Văn Minh Miệt Vườn"
Vãn Tình,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_16198_1.jpg,119.000,95.200,Lấy Tình Thâm Mà Đổi Đầu Bạc (Tái Bản 2020)
Tuệ Nghi,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/9/8936117740169_1.jpg,82.000,69.700,Cứ Bình Tĩnh!
Lư Tư Hạo,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/_/b_a-doidi.jpg,96.000,76.800,Đợi Đi Vết Thương Nào Rồi Cũng Lành - Tặng Kèm Poster Lịch + Bookmark
Geulbaewoo,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_219045.jpg,96.000,76.800,"Gửi Bạn, Người Đã Kiệt Sức Vì Những Chịu Đựng Âm Thầm"
Hà Thanh Phúc,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia_camonnguoidaroixatoi.jpg,89.000,71.200,Cảm Ơn Người Đã Rời Xa Tôi - Tái Bản 2021 - Tặng Kèm 2 Postcard
Huyền Trang Bất Hối,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-1_dan-ba-cu-yeu-di-dung-ngai.jpg,99.000,79.200,"Đàn Bà, Cứ Yêu Đi, Đừng Ngại!"
Quan Đông Dã Khách,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/v/v/vvvvvvvvvvvvv_2_1.jpg,129.000,103.200,"Tôi Có Câu Chuyện, Bạn Có Rượu Không?"
Nguyễn Ngọc Tư,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_1005.jpg,80.000,68.000,Đảo (Tái Bản 2019)
Đặng Hoàng Giang,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/9/8935235215450.jpg,75.000,60.000,Điểm Đến Của Cuộc Đời
Nguyễn Bảo Trung,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-1_nang.jpg,89.000,71.200,Nắng
Lý Ái Linh,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-01_2.jpg,0.00,99.000,Bạn Mới Là Chủ Nhân Của Cuộc Đời Mình (Tái Bản 2020)
Kim Seyeong,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/y/e/yeu-em-ra-cover.jpg,89.000,75.650,Yêu Anh Phí Cả Em Ra
Nam Cao,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_144363.jpg,45.000,35.100,Lão Hạc
Lạc Yến,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/_/b_a-1-b_nh-y_n_2.jpg,108.000,86.400,"Nếu Vui Vẻ Khó Quá, Chỉ Mong Cậu Bình Yên - Tặng Kèm Postcard"
Nguyễn Ngọc Khánh Chi,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/9/8935235215702.jpg,136.000,108.800,Kể Chuyện Rượu Vang
Nguyễn Nhật Ánh,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/o/copy_21_nxbtrestoryfull_04112014_021101_1.jpg,45.000,38.250,Út Quyên Và Tôi (Tái Bản 2019)
KEI,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131390475_397418008269914_6218698824999654171_n.jpg,90.000,72.000,Ước Mơ Không Phụ Lòng Những Người Nỗ Lực - Tặng Kèm Chữ Kí Tác Giả + Bookmark
Nguyễn Ngọc Tư,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/u/n/untitled-2_32_6.jpg,95.000,80.750,Hành Lý Hư Vô
Phong Tử Khải,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_48351.jpg,169.000,143.650,Sống Vốn Đơn Thuần
Thiếu Nữ Lục Yêu,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_192349.jpg,98.000,78.400,Lỡ Chúng Ta Fa Cả Đời Thì Sao (Tái Bản 2019)
Vũ Thượng,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/u/m/umotmienthom.jpg,81.000,63.180,Ủ Một Miền Thơm (Dự Kiến Phát Hành Ngày 10.01.2017)
Đỗ Hồng Ngọc,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_185923.jpg,99.000,79.200,Già Sao Cho Sướng? - Để Có Một Tuổi Già Hạnh Phúc (Tái Bản 2019)
Thạch Lam,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/9/8936067597172.jpg,36.000,23.400,Hà Nội 36 Phố Phường
Françoise Sagan,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_301.jpg,79.000,63.200,Một Buổi Sáng Khó Quên Và Những Bản Tình Ca Dang Dở
Trxx,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/9/8936186545078.jpg,84.000,67.200,Ngày Mai Có Một Bắt Đầu
Dưa Hấu Hạt Tím,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/r/artboard-11.jpg,88.000,70.400,Chúng Ta Là Những Đứa Trẻ Cô Đơn
Nguyễn Ngọc Tư,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/7/9786041098947.jpg,55.000,45.100,Gáy Người Thì Lạnh (Tái Bản 2017)
Tuệ Nghi,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_32.jpg,69.000,50.370,Sẽ Có Cách Đừng Lo (Tái Bản)
Nguyễn Ngọc Tư,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/k/h/khoitroilonglay.jpg,50.000,42.500,Khói Trời Lộng Lẫy (Tái Bản 2017)
Hạt Dẻ Dưa Hấu,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/h/chuyen-chung-ta-khong-can-nguoi-thu3_2.jpg,89.000,71.200,Chuyện Chúng Ta Không Cần Người Thứ Ba
Đặng Ngọc Minh Trang,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/z/2/z2195576492928_03d533d35b8acf2420699739de02d770.jpg,79.000,63.200,Tai Mèo & Mặt Ngầu Tập 3 - Ổ Mèo Náo Loạn
Phạm Thu Hà,short-story,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_178918.jpg,55.000,46.750,Sau Những Ngày Mưa - Văn Học Tuổi 20
