author,genre,imgURL,old_price,price,title
NVCS Entertainment,van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-1-cuc-suc.jpg,79.000,63.200,"Đời Có Mấy Tý, Sao Phải Nghĩ"
Wataru WATARI,van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/c/h/chuy_n-t_nh-thanh-xu_n-bi-h_i-11-02.jpg,109.000,80.660,Chuyện Tình Thanh Xuân Bi Hài Của Tôi Quả Nhiên Là Sai Lầm - Tập 11 - Tặng Kèm Bookmark + Postcard + Thẻ Nhân Vật
Maruyama Kugane,van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/o/v/overlord-3---bia1.jpg,135.000,108.000,OVERLORD - Tập 3: Valkyrie Khát Máu - Tặng Kèm Thẻ Bài Nhân Vật
Cù Mai Công,van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/n/x/nxbtre_full_04102021_121045.jpg,65.000,55.250,"Sài Gòn Một Thuở ""Dân Ông Tạ Đó!"""
Miêu Công Tử,van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_34373.jpg,99.000,79.200,999 Lá Thư Gửi Cho Chính Mình - Mong Bạn Trở Thành Phiên Bản Hoàn Hảo Nhất (Tái Bản 2020)
"Fujino Omori, Suzuhito Yasuda",van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/l/i/lieu-co-sai-lam-khi-tim-kiem-cuoc-gap-go-dinh-menh-trong-dungeon---tap-4.jpg,95.000,90.250,Liệu Có Sai Lầm Khi Tìm Kiếm Cuộc Gặp Gỡ Định Mệnh Trong Dungeon - Tập 4 - Bản Giới Hạn - Tặng Kèm Bookmark + Postcard Mica
Koushi Tachibana,van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/d/a/datealiveencore.jpg,95.000đ,0,Date A Live Encore - Tập 2 - Bản Đặc Biệt: Tặng Kèm Bookmark Bế Hình + Postcard + Mini Artbook + Poster
Tần Minh,van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/66x/9df78eab33525d08d6e5fb8d27136e95/8/9/8935095623785.jpg,460.000,368.000,Pháp Y Tần Minh (Bộ 3 Cuốn)
Koushi Tachibana,van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/img_0581.jpg,108.000,70.200,[Bản Đặc Biệt] Date A Live - Tập 10 - Tặng Kèm Bookmark + Postcard Bí Mật
SHINKAI MAKOTO,van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/d/u/duaconcuathoitiet---bia1_ban-thuong.jpg,85.000,68.000,Đứa Con Của Thời Tiết - Bản Thường - Tặng Kèm Postcard Màu Chất Liệu Giấy Ivory
"ASATO ASATO, SHIRABII",van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/8/6/86-tap-1_bia-1.jpg,105.000,84.000,86-EIGHTY SIX- Ep.1 - Tặng Kèm Postcard Nhân Vật
Hoàng Yến,van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_216250.jpg,108.000,72.360,Thượng Dương
"Koyoharu Gotouge, Aya Yajima",van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/t/g/tgdq-novel-kem-lot-ly.jpg,50.000,47.500,Thanh Gươm Diệt Quỷ: Đóa Hoa Hạnh Phúc - Tặng Kèm Lót Ly
Nguyễn Nhật Ánh,van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/b/i/biamem.jpg,150.000,112.500,Con Chim Xanh Biếc Bay Về - Tặng Kèm 6 Postcard
Jeffrey Archer,van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_179484.jpg,175.000,117.250,Hai Số Phận - Bìa Cứng
"Trịnh Nam Trân, Kỳ Anh Trần",van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/b/i/bia_sao-em-buon-den-the-_1.jpg,83.000,66.400,Sao Em Buồn Đến Thế? - Tặng Kèm Postcard
"Akamitsu Awamura, Tamago no Kimi",van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/_/-/_-ch_-alexis...-8.jpg,150.000,120.000,Biên Niên Sử Đế Chế Alexis - Kiêu Hùng Rung Chuyển Đất Trời - Tập 8 - Bản Đặc Biệt - Tặng Kèm Móc Khóa + Postcard
Mặc Hương Đồng Khứu,van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-1-mem_thien-quan-tu-phuc-_tap-2_.jpg,149.000,119.200,Thiên Quan Tứ Phúc - Tập 2
Mặc Hương Đồng Khứu,van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/1/1/118087351_252537175725948_1753576288010280772_n.jpg,149.000,119.200,Thiên Quan Tứ Phúc - Tập 1
Ở Đây Zui Nè,van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_33312.jpg,69.000,55.200,Vui Vẻ Không Quạu Nha
Đàm Hà Phú,van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/n/x/nxbtre_full_05202021_112055.jpg,125.000,106.250,Chuyện Nhỏ Sài Gòn Bao Nhớ
Khotudien,van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_198719.jpg,69.000,55.200,Từ Điển Tiếng “Em”
Kulzsc,van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/b/i/bia1_tobinhyen_2_1.jpg,78.000,62.400,Tô Bình Yên Vẽ Hạnh Phúc (Tái Bản 2020)
Paulo Coelho,van-hoc-trong-nuoc,https://cdn0.fahasa.com/media/catalog/product/cache/1/thumbnail/66x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_36793.jpg,79.000,67.150,Nhà Giả Kim (Tái Bản 2020)
